Date,Open,High,Low,Close,Adj Close,Volume
2022-01-18,171.509995,172.539993,169.410004,169.800003,167.667892,90956700
2022-01-19,170.000000,171.080002,165.940002,166.229996,164.142685,94815000
2022-01-20,166.979996,169.679993,164.179993,164.509995,162.444321,91420500
2022-01-21,164.419998,166.330002,162.300003,162.410004,160.370667,122848900
2022-01-24,160.020004,162.300003,154.699997,161.619995,159.590591,162294600
2022-01-25,158.979996,162.759995,157.020004,159.779999,157.773682,115798400
2022-01-26,163.500000,164.389999,157.820007,159.690002,157.684799,108275300
2022-01-27,162.449997,163.839996,158.279999,159.220001,157.220734,121954600
2022-01-28,165.710007,170.350006,162.800003,170.330002,168.191208,179935700
2022-01-31,170.160004,175.000000,169.509995,174.779999,172.585342,115541600
2022-02-01,174.009995,174.839996,172.309998,174.610001,172.417496,86213900
2022-02-02,174.750000,175.880005,173.330002,175.839996,173.632019,84914300
2022-02-03,174.479996,176.240005,172.119995,172.899994,170.728943,89418100
2022-02-04,171.679993,174.100006,170.679993,172.389999,170.442230,82465400
2022-02-07,172.860001,173.949997,170.949997,171.660004,169.720474,77251200
2022-02-08,171.729996,175.350006,171.429993,174.830002,172.854675,74829200
2022-02-09,176.050003,176.649994,174.899994,176.279999,174.288254,71285000
2022-02-10,174.139999,175.479996,171.550003,172.119995,170.175262,90865900
2022-02-11,172.330002,173.080002,168.039993,168.639999,166.734604,98670700
2022-02-14,167.369995,169.580002,166.559998,168.880005,166.971893,86185500
2022-02-15,170.970001,172.949997,170.250000,172.789993,170.837708,62527400
2022-02-16,171.850006,173.339996,170.050003,172.550003,170.600418,61177400
2022-02-17,171.029999,171.910004,168.470001,168.880005,166.971893,69589300
2022-02-18,169.820007,170.539993,166.190002,167.300003,165.409744,82772700
2022-02-22,164.979996,166.690002,162.149994,164.320007,162.463425,91162800
2022-02-23,165.539993,166.149994,159.750000,160.070007,158.261459,90009200
2022-02-24,152.580002,162.850006,152.000000,162.740005,160.901276,141147500
2022-02-25,163.839996,165.119995,160.869995,164.850006,162.987442,91974200
2022-02-28,163.059998,165.419998,162.429993,165.119995,163.254364,95056600
2022-03-01,164.699997,166.600006,161.970001,163.199997,161.356064,83474400
2022-03-02,164.389999,167.360001,162.949997,166.559998,164.678101,79724800
2022-03-03,168.470001,168.910004,165.550003,166.229996,164.351837,76678400
2022-03-04,164.490005,165.550003,162.100006,163.169998,161.326385,83737200
2022-03-07,163.360001,165.020004,159.039993,159.300003,157.500122,96418800
2022-03-08,158.820007,162.880005,155.800003,157.440002,155.661148,131148300
2022-03-09,161.479996,163.410004,159.410004,162.949997,161.108902,91454900
2022-03-10,160.199997,160.389999,155.979996,158.520004,156.728958,105342000
2022-03-11,158.929993,159.279999,154.500000,154.729996,152.981766,96970100
2022-03-14,151.449997,154.119995,150.100006,150.619995,148.918182,108732100
2022-03-15,150.899994,155.570007,150.380005,155.089996,153.337677,92964300
2022-03-16,157.050003,160.000000,154.460007,159.589996,157.786865,102300200
2022-03-17,158.610001,161.000000,157.630005,160.619995,158.805237,75615400
2022-03-18,160.509995,164.479996,159.759995,163.979996,162.127258,123511700
2022-03-21,163.509995,166.350006,163.009995,165.380005,163.511429,95811400
2022-03-22,165.509995,169.419998,164.910004,168.820007,166.912582,81532000
2022-03-23,167.990005,172.639999,167.649994,170.210007,168.286896,98062700
2022-03-24,171.059998,174.139999,170.210007,174.070007,172.103256,90131400
2022-03-25,173.880005,175.279999,172.750000,174.720001,172.745926,80546200
2022-03-28,172.169998,175.729996,172.000000,175.600006,173.615967,90371900
2022-03-29,176.690002,179.009995,176.339996,178.960007,176.938019,100589400
2022-03-30,178.550003,179.610001,176.699997,177.770004,175.761475,92633200
2022-03-31,177.839996,178.029999,174.399994,174.610001,172.637146,103049300
2022-04-01,174.029999,174.880005,171.940002,174.309998,172.340530,78751300
2022-04-04,174.570007,178.490005,174.440002,178.440002,176.423889,76468400
2022-04-05,177.500000,178.300003,174.419998,175.059998,173.082077,73401800
2022-04-06,172.360001,173.630005,170.130005,171.830002,169.888565,89058800
2022-04-07,171.160004,173.360001,169.850006,172.139999,170.195038,77594700
2022-04-08,171.779999,171.779999,169.199997,170.089996,168.168182,76575500
2022-04-11,168.710007,169.029999,165.500000,165.750000,163.877243,72246700
2022-04-12,168.020004,169.869995,166.639999,167.660004,165.765686,79265200
2022-04-13,167.389999,171.039993,166.770004,170.399994,168.474731,70618900
2022-04-14,170.619995,171.270004,165.039993,165.289993,163.422440,75329400
2022-04-18,163.919998,166.600006,163.570007,165.070007,163.204956,69023900
2022-04-19,165.020004,167.820007,163.910004,167.399994,165.508591,67723800
2022-04-20,168.759995,168.880005,166.100006,167.229996,165.340546,67929800
2022-04-21,168.910004,171.529999,165.910004,166.419998,164.539688,87227800
2022-04-22,166.460007,167.869995,161.500000,161.789993,159.962006,84882400
2022-04-25,161.119995,163.169998,158.460007,162.880005,161.039688,96046400
2022-04-26,162.250000,162.339996,156.720001,156.800003,155.028381,95623200
2022-04-27,155.910004,159.789993,155.380005,156.570007,154.800980,88063200
2022-04-28,159.250000,164.520004,158.929993,163.639999,161.791077,130216800
2022-04-29,161.839996,166.199997,157.250000,157.649994,155.868744,131747600
2022-05-02,156.710007,158.229996,153.270004,157.960007,156.175293,123055300
2022-05-03,158.149994,160.710007,156.320007,159.479996,157.678116,88966500
2022-05-04,159.669998,166.479996,159.259995,166.020004,164.144211,108256500
2022-05-05,163.850006,164.080002,154.949997,156.770004,154.998734,130525300
2022-05-06,156.009995,159.440002,154.179993,157.279999,155.731445,116124600
2022-05-09,154.929993,155.830002,151.490005,152.059998,150.562805,131577900
2022-05-10,155.520004,156.740005,152.929993,154.509995,152.988678,115366700
2022-05-11,153.500000,155.449997,145.809998,146.500000,145.057571,142689800
2022-05-12,142.770004,146.199997,138.800003,142.559998,141.156357,182602000
2022-05-13,144.589996,148.100006,143.110001,147.110001,145.661575,113990900
2022-05-16,145.550003,147.520004,144.179993,145.539993,144.107025,86643800
